0;Says the Annies List political group supports third-trimester abortions on demand.
0.5;When did the decline of coal start? It started when natural gas took off that started to begin in (President George W.) Bushs administration.
0.7;Hillary Clinton agrees with John McCain by voting to give George Bush the benefit of the doubt on Iran.
0;Health care reform legislation is likely to mandate free sex change surgeries.
0.5;The economic turnaround started at the end of my term.
1;The Chicago Bears have had more starting quarterbacks in the last 10 years than the total number of tenured (UW) faculty fired during the last two decades.
0.3;Jim Dunnam has not lived in the district he represents for years now.
0.5;Im the only person on this stage who has worked actively just last year passing, along with Russ Feingold, some of the toughest ethics reform since Watergate.
0.5;However, it took $19.5 million in Oregon Lottery funds for the Port of Newport to eventually land the new NOAA Marine Operations Center-Pacific.
0.7;Says GOP primary opponents Glenn Grothman and Joe Leibham cast a compromise vote that cost $788 million in higher electricity costs.
0.7;For the first time in history, the share of the national popular vote margin is smaller than the Latino vote margin.
0.5;Since 2000, nearly 12 million Americans have slipped out of the middle class and into poverty.
0;When Mitt Romney was governor of Massachusetts, we didnt just slow the rate of growth of our government, we actually cut it.
0.7;The economy bled $24 billion due to the government shutdown.
0.3;Most of the (Affordable Care Act) has already in some sense been waived or otherwise suspended.
0.5;In this last election in November, ... 63 percent of the American people chose not to vote, ... 80 percent of young people, (and) 75 percent of low-income workers chose not to vote.
1;McCain opposed a requirement that the government buy American-made motorcycles. And he said all buy-American provisions were quote disgraceful. 
0.3;U.S. Rep. Ron Kind, D-Wis., and his fellow Democrats went on a spending spree and now their credit card is maxed out
0.5;Water rates in Manila, Philippines, were raised up to 845 percent when a subsidiary of the World Bank became a partial owner.
0.7;Almost 100,000 people left Puerto Rico last year.
0;Women and men both are making less when you adjust for inflation than when John Kitzhaber was first elected governor.
0.7;The United States has the highest corporate tax rate in the free world.
0.7;We just had the best year for the auto industry in America in history.
0.5;Says Scott Walker favors cutting up to 350,000 families and children off health care.
0.3;Says Mitt Romney wants to get rid of Planned Parenthood.
0;I dont know who (Jonathan Gruber) is.
0.7;Hate crimes against American Muslims and mosques have tripled after Paris and San Bernardino.
0.5;Rick Perry has never lost an election and remains the only person to have won the Texas governorship three times in landslide elections.
0;ISIS supporter tweeted at 10:34 a.m. Shooting began at 10:45 a.m. in Chattanooga, Tenn.
0.7;Youth unemployment in minority communities is about 40 to 45 percent.
1;Says Paul Ryan is still endorsing Trump.
0.3;If you look at states that are right to work, they constantly do not have budget deficits and they have very good business climates.
0;What (the Obama administration is) going to come out with in the next several months is youre not even going to be able to burn coal very limitedly in the existing plants.
0.7;We cut business taxes so today 70 percent of our businesses dont pay a business tax.
0.7;Says Mark Pryor votes with Obama 93 percent of the time.
1;We have a federal government that thinks they have the authority to regulate our toilet seats.
1;Austin is a city that has basically doubled in size every 25 years or so since it was founded.
1;The nuclear test conducted in our nation this time is the Earths 2,054th nuclear test. The five permanent members of the U.N. Security Council have conducted 99.99 percent of the total nuclear tests.
0;In the case of a catastrophic event, the Atlanta-area offices of the Centers for Disease Control and Prevention will self-destruct.
1;Under President George W. Bush, we added $4.9 trillion to the debt. Under President Obama weve added $6.5 trillion to the debt.
