,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Slice,Words,Plus Delta,True News,Fake News,True Positive,True Negative,Assertivity,Total Text
0,0,0,0,0,0,0,1,2,0,749.0,911.0,202.0,583.0,47.28915663,2053.0
1,1,1,1,1,1,1,1,2,1,749.0,911.0,177.0,516.0,41.74698795,2053.0
2,2,2,2,2,2,2,1,2,5,749.0,911.0,261.0,570.0,50.06024096,2053.0
3,3,3,3,3,3,3,1,3,0,749.0,911.0,397.0,591.0,59.51807229,2053.0
4,4,4,4,4,4,4,1,3,1,749.0,911.0,337.0,625.0,57.95180723,2053.0
5,5,5,5,5,5,5,1,3,5,749.0,911.0,402.0,586.0,59.51807229,2053.0
6,6,6,6,6,6,6,2,2,0,743.0,902.0,209.0,490.0,42.49240122,2054.0
7,7,7,7,7,7,7,2,2,1,743.0,902.0,141.0,539.0,41.33738602,2054.0
8,8,8,8,8,8,8,2,2,5,,,,,,
9,9,9,9,9,9,9,2,3,0,743.0,902.0,327.0,612.0,57.08206687,2054.0
10,10,10,10,10,10,10,2,3,1,743.0,902.0,206.0,604.0,49.24012158,2054.0
11,11,11,11,11,11,11,2,3,5,743.0,902.0,372.0,580.0,57.87234043,2054.0
12,12,12,12,12,12,12,3,2,0,727.0,878.0,300.0,606.0,56.44859813,2054.0
13,13,13,13,13,13,13,3,2,1,,,,,,
14,14,14,14,14,14,14,3,2,5,,,,,,
15,15,15,15,15,15,15,3,3,0,,,,,,
16,16,16,16,16,16,16,3,3,1,,,,,,
17,17,17,17,17,17,17,3,3,5,,,,,,
18,18,18,18,18,18,18,4,2,0,,,,,,
19,19,19,19,19,19,19,4,2,1,,,,,,
20,20,20,20,20,20,20,4,2,5,,,,,,
21,21,21,21,21,21,21,4,3,0,,,,,,
22,22,22,22,22,22,22,4,3,1,,,,,,
23,23,23,23,23,23,23,4,3,5,,,,,,
24,24,24,24,24,24,24,5,2,0,,,,,,
25,25,25,25,25,25,25,5,2,1,,,,,,
26,26,26,26,26,26,26,5,2,5,,,,,,
27,27,27,27,27,27,27,5,3,0,,,,,,
28,28,28,28,28,28,28,5,3,1,,,,,,
29,29,29,29,29,29,29,5,3,5,,,,,,
