,Slice,Words,Plus Delta,Bounds,True News,Fake News,True Positive,True Negative,Assertivity,Total Text
0,1,3,5,0,tuzita,,,,,
1,1,3,5,0.1,tuzita,,,,,
2,1,3,5,0.2,tuzita,,,,,
3,1,3,5,0.25,749,911,402,586,59.51807229,2053
4,2,3,5,0,tuzita,,,,,
5,2,3,5,0.1,tuzita,,,,,
6,2,3,5,0.2,tuzita,,,,,
7,2,3,5,0.25,743,902,372,580,57.87234043,2054
8,3,3,5,0,tuzita,,,,,
9,3,3,5,0.1,tuzita,,,,,
10,3,3,5,0.2,tuzita,,,,,
11,3,3,5,0.25,727,878,385,525,56.69781931,2054
12,4,3,5,0,,,,,,
13,4,3,5,0.1,,,,,,
14,4,3,5,0.2,,,,,,
15,4,3,5,0.25,722,877,391,549,58.78674171,2054
16,5,3,5,0,,,,,,
17,5,3,5,0.1,,,,,,
18,5,3,5,0.2,,,,,,
19,5,3,5,0.25,708,929,382,583,58.9492975,2054
